temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
287.0,0.04,0.74,0.6,0.012,0.23,0.21,18.66454796224655,11.16574135531118,F,24.88888888888889,1,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.619e+18,146467529173.0086,,low,,515.9005,YES,NO,PWR,7.597417043779438
291.1111111111111,0.15,0.52,1.32,0.01,0.2,0.21,17.86153441085904,10.38959995032397,P,24.44444444444444,8,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,495,YES,NO,PWR,19.31608638211583
292.2222222222222,0.27,0.58,1.49,0.016,0.51,0.09,19.01283722470517,10.96625591238198,W,80.55555555555556,20,Plotter,AN1,W1,AN1-W1,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,466,YES,NO,PWR,85.97294030242267
293.3333333333333,0.04,0.67,1.44,0.015,0.48,0.066,18.58883172559421,11.02556712943192,W,9.666666666666668,34,Plotter,BD1,W1,BD1-W1,USA Surveillance,USA,3.88e+18,106063786980.1781,,low,-32.27777777777778,502,YES,YES,PWR,9.253719279884574
289.4444444444445,0.04,0.67,1.44,0.015,0.48,0.066,19.06818586174616,10.93591079923121,W,16.55555555555556,35,Plotter,BD1,W1,BD1-W1,USA Surveillance,USA,1.17e+19,86280131676.7548,,low,-32.27777777777778,502,YES,YES,PWR,18.906497985868448
290.0,0.04,0.67,1.44,0.015,0.48,0.066,19.29666519026153,10.9063211256536,W,27.22222222222222,36,Plotter,BD1,W1,BD1-W1,USA Surveillance,USA,1.98e+19,80597417365.66609,,low,-32.27777777777778,502,YES,YES,PWR,25.42558178323118
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,19.06069784035361,10.93452537682551,W,14.5,44,Plotter,BD2,W1,BD2-W1,USA Surveillance,USA,1.15e+19,86005332031.43697,,low,-28.44444444444444,503,YES,YES,PWR,18.526277481820614
275.5555555555555,0.2,0.33,1.49,0.01,0.09,0.15,17.18184358794477,8.726273376495698,W,15.55555555555556,47,Plotter,BF2,W1,BF2-W1,USA Surveillance,USA,1.52e+17,532443312.3018225,,low,,,NO,NO,BWR,11.81436586733243
292.0,0.04,0.86,0.71,0.011,0.2,0.0,18.987219229908,11.21443413178826,F,9.0,48,Plotter,BOR,F1,BOR-F1,Netherlands Surveillance,NETHERLANDS,9.71e+18,163845354283.9401,,low,,,NO,NO,PWR,11.4147238084161
292.0,0.09,0.05,1.98,0.011,0.19,0.0,18.987219229908,11.21443413178826,W,34.0,52,Plotter,BOR,W1,BOR-W1,Netherlands Surveillance,NETHERLANDS,9.71e+18,163845354283.9401,,low,,,NO,NO,PWR,24.51264852458294
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,18.17609125905568,10.80169488914176,P,-13.88888888888889,54,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,1.5e+18,63342454646.80247,,low,,,NO,NO,BWR,11.190709114031492
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,18.85125834871907,10.87808244817499,W,78.33333333333333,60,Plotter,BRP,W1,BRP-W1,USA Surveillance,USA,7.1e+18,75523559095.58943,,low,,,NO,NO,BWR,42.04673985342285
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.48000694295715,10.90201908997416,P,76.66666666666666,66,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,3.02e+18,79802976492.47421,,low,-7.833333333333333,442,YES,YES,PWR,46.82501917134147
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.97954837470409,10.70988975612658,P,100.1111111111111,68,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,9.54e+18,51273121275.44308,,low,-7.833333333333333,442,YES,YES,PWR,64.92747450018801
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,18.97954837470409,10.70988975612658,W,103.5555555555556,72,Plotter,BV1,W1,BV1-W1,USA Surveillance,USA,9.54e+18,51273121275.44308,,low,-54.72222222222222,461,YES,YES,PWR,93.64422344920021
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,19.74663419893758,11.10107957837157,P,54.44444444444444,80,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,5.58e+19,126205876797.0088,,low,2.000000000000001,492,YES,YES,PWR,49.775037071084384
283.8888888888889,0.08,0.07,1.17,0.008,0.14,0.1,19.56584781867352,11.07360498124054,W,3.333333333333329,84,Plotter,BV2,W1,BV2-W1,USA Surveillance,USA,3.68e+19,118469070558.6332,,low,-39.88888888888889,507,YES,YES,PWR,43.53216136134047
276.6666666666667,0.12,0.56,1.5,0.01,0.27,0.23,17.6085260335772,9.072006477252465,P,10.49444444444445,86,Plotter,BW2,P1,BW2-P1,USA Surveillance,USA,4.06e+17,1180338239.586568,,low,,517.796,YES,NO,BWR,14.599490049604107
289.4444444444445,0.05,0.73,0.69,0.01,0.27,0.21,19.17318626841227,10.920796602584,F,10.16666666666666,88,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,1.49e+19,83329082990.8452,,low,-66.5,497,YES,YES,PWR,18.567306304159523
292.2222222222222,0.05,0.73,0.69,0.01,0.27,0.21,18.61172330800734,11.04103469376585,F,10.33333333333334,90,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,4.09e+18,109909363740.3366,,low,-57.27777777777778,479,YES,YES,PWR,9.501135773972205
289.4444444444445,0.03,0.65,1.34,0.01,0.55,0.09,19.08278537031645,10.91466188281497,W,16.0,103,Plotter,BY2,W1,BY2-W1,USA Surveillance,USA,1.21e+19,82160274733.09454,,low,-57.33333333333334,479,YES,YES,PWR,17.983441969733974
294.4444444444445,0.09,0.845,0.725,0.008,0.292,0.204,19.11727129565577,10.92123534596068,F,8.266666666666666,106,Plotter,CB1,F1,CB1-F1,USA Surveillance,USA,1.31e+19,83413308230.38475,,low,,475,YES,NO,PWR,31.450326792106402
294.4444444444445,0.049,0.725,1.85,0.012,0.239,0.059,19.36361197989214,10.89678965896313,W,13.91111111111111,113,Plotter,CB1,W1,CB1-W1,USA Surveillance,USA,2.31e+19,78847814297.62776,,low,,518,YES,NO,PWR,31.099086624469486
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,19.06069784035361,10.90675279860686,P,25.0,115,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,1.15e+19,80677568100.28601,,low,,479,YES,NO,PWR,28.059563925183873
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,19.35218251811136,10.88770393995589,P,22.79444444444444,116,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,2.25e+19,77215402557.86832,,low,,479,YES,NO,PWR,36.92065651235734
294.4444444444445,0.042,0.153,1.163,0.008,0.133,0.14,18.51851393987789,11.08520888169895,W,-18.33333333333333,120,Plotter,CB2,W1,CB2-W1,USA Surveillance,USA,3.3e+18,121677108774.9106,,low,,510,YES,NO,PWR,7.452533696344023
287.2222222222222,0.18,0.16,1.05,0.014,0.2,0.15,18.69897000433602,10.72159690180681,W,28.0,129,Plotter,CC1,W1,CC1-W1,USA Surveillance,USA,5e+18,52674073062.73187,,low,-51.83333333333333,515,YES,YES,PWR,32.47381952412453
286.6666666666667,0.133,0.66,1.21,0.005,0.205,0.208,19.38738982633873,10.45513342564177,P,75.33333333333333,135,Plotter,CC2,P1,CC2-P1,USA Surveillance,USA,2.44e+19,28518943029.99837,,low,,438,YES,NO,PWR,58.71088087685151
280.0,0.14,0.49,1.4,0.009,0.25,0.24,18.91960102378411,10.87921517290216,P,47.77777777777778,141,Plotter,CK1,P1,CK1-P1,USA Surveillance,USA,8.31e+18,75720796375.02405,,low,,472,YES,NO,PWR,45.3658512744869
280.0,0.14,0.49,1.4,0.009,0.25,0.24,19.26481782300954,10.80364188040415,P,58.88888888888889,143,Plotter,CK1,P1,CK1-P1,USA Surveillance,USA,1.84e+19,63627063522.49381,,low,,472,YES,NO,PWR,59.34830444083643
280.0,0.14,0.49,1.4,0.009,0.25,0.24,19.07918124604763,10.88576944017869,P,61.11111111111111,146,Plotter,CK1,P1,CK1-P1,USA Surveillance,USA,1.2e+19,76872222990.94446,,low,,470,YES,NO,PWR,51.2740849956564
280.0,0.14,0.49,1.4,0.009,0.25,0.24,19.26481782300954,10.80364188040415,P,52.77777777777778,147,Plotter,CK1,P1,CK1-P1,USA Surveillance,USA,1.84e+19,63627063522.49381,,low,,470,YES,NO,PWR,59.34830444083643
280.0,0.17,0.64,1.478,0.011,0.225,0.217,19.07918124604763,10.88576944017869,SRM,60.0,150,Plotter,CK1,SRM2,CK1-SRM2,USA Surveillance,USA,1.2e+19,76872222990.94446,,low,,,NO,NO,PWR,69.29610128273661
282.7777777777778,0.11,0.58,1.285,0.017,0.215,0.215,18.37657695705651,10.84434659463419,P,43.33333333333334,159,Plotter,CK2,P1,CK2-P1,USA Surveillance,USA,2.38e+18,69878986038.29602,,low,,462,YES,NO,PWR,25.439940646487656
283.3333333333333,0.053,0.965,1.375,0.02,0.4,0.095,19.00860017176192,10.78963426142059,W,37.22222222222222,165,Plotter,CK2,W1,CK2-W1,USA Surveillance,USA,1.02e+19,61607595854.1712,,low,,526,YES,NO,PWR,27.139252104296283
291.6666666666667,0.06,0.55,1.32,0.005,0.22,0.23,19.48855071650044,10.89318167119094,P,14.38888888888889,170,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,3.08e+19,78195483835.06398,,low,-19.27777777777778,462,YES,YES,PWR,33.044908434349914
291.6666666666667,0.03,0.06,1.28,0.005,0.47,0.11,19.07188200730613,10.90097754243504,W,19.44444444444444,176,Plotter,CL1,W1,CL1-W1,USA Surveillance,USA,1.18e+19,79611818172.0047,,low,-47.22222222222222,500,YES,YES,PWR,15.98068288184322
262.0,0.087,0.64,1.26,0.017,0.29,0.176,19.69372694892365,11.08051959681989,F,83.0,179,Plotter,F43,F1,F43-F1,France Surveillance,FRANCE,4.94e+19,120370370370.3704,,low,,,NO,NO,PWR,94.36594989032133
262.9186574027526,0.09,0.65,1.27,0.01,0.31,0.169,20.06483221973857,11.39089022110449,F,142.2675888288712,185,Plotter,F43,F2,F43-F2,France Surveillance,FRANCE,1.161e+20,245974576271.1865,,high,,,NO,NO,PWR,135.31002894883375
262.0,0.08,0.62,1.27,0.01,0.32,0.162,19.28780172993023,10.5684704429465,F,30.37190740940945,200,Plotter,F43,F2b,F43-F2b,Decommissioned Vessels,FRANCE,1.94e+19,37022900763.35878,,low,,,NO,NO,PWR,56.21085066283603
292.2222222222222,0.05,0.59,1.36,0.006,0.23,0.21,18.50242711998443,11.04457912072797,P,3.722222222222221,204,Plotter,CP1,P1,CP1-P1,USA Surveillance,USA,3.18e+18,110810042316.8916,,low,-29.33333333333333,435,YES,YES,PWR,9.422002745485631
292.2222222222222,0.05,0.59,1.36,0.006,0.23,0.21,18.50242711998443,11.04457912072797,P,11.94444444444445,206,Plotter,CP1,P1,CP1-P1,USA Surveillance,USA,3.18e+18,110810042316.8916,,low,-17.16666666666667,446,YES,YES,PWR,9.422002745485631
292.7777777777778,0.05,0.59,1.36,0.006,0.23,0.21,19.17318626841227,10.87919507179448,P,14.27777777777778,207,Plotter,CP1,P1,CP1-P1,USA Surveillance,USA,1.49e+19,75717291756.10455,,low,-17.16666666666667,446,YES,YES,PWR,20.463737737392922
275.0,0.11,0.24,1.485,0.015,0.13,0.0,17.6085260335772,9.181843587944773,W,7.06,233,Plotter,CPR,W5,CPR-W5,USA Surveillance,USA,4.06e+17,1520000000.0,,low,,UN-SPEC,NO,NO,BWR,10.430798793486243
275.0,0.27,0.06,1.29,0.016,0.28,0.0,17.49554433754645,9.071882007306126,W,32.39,235,Plotter,CPR,W7,CPR-W7,USA Surveillance,USA,3.13e+17,1180000000.0,,low,,UN-SPEC,NO,NO,BWR,17.99008118001179
294.4444444444445,0.41,0.1,1.65,0.021,1.0,0.08,18.02118929906994,10.65315097240359,W,17.77777777777778,244,Plotter,CR3,W1,CR3-W1,USA Surveillance,USA,1.05e+18,44993623760.74704,,low,,531,YES,NO,PWR,26.678082238136682
291.1111111111111,0.39,0.58,1.63,0.018,0.54,0.09,19.20139712432045,10.78824736026564,W,70.0,251,Plotter,CR3,WBW2,CR3-WBW2,USA Surveillance,USA,1.59e+19,61411168397.30292,,low,,,NO,NO,PWR,102.1542812317172
280.5555555555555,0.1,0.2,1.42,0.01,0.26,0.2,19.19033169817029,10.81193379722215,P,22.77777777777778,258,Plotter,CTY,P1,CTY-P1,USA Surveillance,USA,1.55e+19,64853556485.35567,,low,,421.04,YES,NO,PWR,36.81962955605516
280.5555555555555,0.12,0.2,1.37,0.01,0.19,0.2,19.35793484700045,10.83679676329642,P,40.0,261,Plotter,CTY,P2,CTY-P2,USA Surveillance,USA,2.28e+19,68674698795.18071,,low,,,NO,NO,PWR,47.94840870012327
280.5555555555555,0.205,0.044,1.304,0.018,0.325,0.047,18.41329976408125,10.64024507071699,W,56.11111111111111,267,Plotter,CTY,W1,CTY-W1,USA Surveillance,USA,2.59e+18,43676222596.96458,,low,,481.254,YES,NO,PWR,29.22860291428053
280.5555555555555,0.205,0.044,1.304,0.018,0.325,0.047,19.35793484700045,10.83679676329642,W,62.77777777777778,268,Plotter,CTY,W1,CTY-W1,USA Surveillance,USA,2.28e+19,68674698795.18071,,low,,481.254,YES,NO,PWR,62.84523336319329
