temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
291.1111111111111,0.17,0.64,1.478,0.011,0.225,0.217,17.86153441085904,10.38959995032397,SRM,4.444444444444445,15,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,,NO,NO,PWR,21.642557431981608
290.0,0.096,0.58,1.4,0.009,0.21,0.22,18.4814426285023,10.75474931695326,P,18.55555555555555,23,Plotter,AN2,P1,AN2-P1,USA Surveillance,USA,3.03e+18,56852467284.501,,low,-9.5,467,YES,YES,PWR,22.943981024528014
293.3333333333333,0.03,0.73,1.33,0.007,0.28,0.2,18.58883172559421,11.02556712943192,F,-8.777777777777779,31,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,3.88e+18,106063786980.1781,,low,-44.27777777777778,451,YES,YES,PWR,10.816773721155835
289.4444444444445,0.03,0.73,1.33,0.007,0.28,0.2,19.06818586174616,10.93591079923121,F,16.27777777777778,32,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.17e+19,86280131676.7548,,low,-44.27777777777778,451,YES,YES,PWR,21.0457955746277
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.06069784035361,10.93452537682551,F,-5.333333333333332,38,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,1.15e+19,86005332031.43697,,low,-29.38888888888889,476,YES,YES,PWR,21.753662383777108
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.31597034545692,10.8846899738444,F,2.555555555555557,39,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,2.07e+19,76681389493.4494,,low,-29.38888888888889,476,YES,YES,PWR,29.185600709823436
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.06069784035361,10.93452537682551,F,18.77777777777778,41,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,1.15e+19,86005332031.43697,,low,-30.77777777777778,476,YES,YES,PWR,21.753662383777108
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,18.58883172559421,11.01814311135271,W,-0.4444444444444464,43,Plotter,BD2,W1,BD2-W1,USA Surveillance,USA,3.88e+18,104266095675.4293,,low,-28.44444444444444,503,YES,YES,PWR,16.551967108463472
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,19.31597034545692,10.8846899738444,W,13.16666666666666,45,Plotter,BD2,W1,BD2-W1,USA Surveillance,USA,2.07e+19,76681389493.4494,,low,-28.44444444444444,503,YES,YES,PWR,38.23128756553703
275.5555555555555,0.2,0.33,1.49,0.01,0.09,0.15,17.18184358794477,8.726273376495698,W,15.55555555555556,47,Plotter,BF2,W1,BF2-W1,USA Surveillance,USA,1.52e+17,532443312.3018225,,low,,,NO,NO,BWR,32.25968588968758
292.0,0.04,0.86,0.71,0.011,0.2,0.0,19.13353890837022,11.01689929072727,F,12.0,49,Plotter,BOR,F1,BOR-F1,Netherlands Surveillance,NETHERLANDS,1.36e+19,103967904496.3061,,low,,,NO,NO,PWR,20.676155658556297
292.0,0.09,0.05,1.98,0.011,0.19,0.0,18.987219229908,11.21443413178826,W,34.0,52,Plotter,BOR,W1,BOR-W1,Netherlands Surveillance,NETHERLANDS,9.71e+18,163845354283.9401,,low,,,NO,NO,PWR,36.178281827653755
